Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Tencent,"Shenzhen, Guangdong, China",Active,For Profit,693.0,375.0,15.0,125.0,1.0,4.0,"Advertising, Gaming, Internet Services, Sales and Marketing","Advertising, Internet, Online Games, Online Portals, Social Media Marketing",6.0,IPO,2020-05-29,6000000000.0,USD,6000000000.0,Post-IPO Debt,Post-IPO Equity,44350000.0,USD,44350000.0,12576770000.0,USD,12576770000.0,22.0,"4,085,844","3,553,184",600.0,,,,"IDG Capital, Prosus & Naspers, Lippo Group, PCCW"
Twitter,"San Francisco, California, United States",Active,For Profit,10.0,2.0,1.0,3.0,9.0,37.0,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Blogging Platforms, Messaging, SMS, Social Media",19.0,IPO,2022-03-04,2890000000.0,USD,2890000000.0,Post-IPO Equity,Post-IPO Equity,2890000000.0,USD,2890000000.0,4430191511.0,USD,4430191511.0,77.0,"6,026,399,205","3,104,998,131.33",942.0,,,,"Andreessen Horowitz, Morgan Stanley, Spark Capital, Union Square Ventures, Insight Partners"
Ubisoft,"Montreuil-sous-bois, Ile-de-France, France",Active,For Profit,9.0,,,1.0,1.0,4.0,"Content and Publishing, Gaming, Media and Entertainment","Media and Entertainment, Publishing, Video Games",3.0,IPO,2018-03-21,618000000.0,EUR,763021367.0,Post-IPO Secondary,Post-IPO Equity,50000000.0,CNY,7629264.0,770650631.0,USD,770650631.0,16.0,"32,820,567","27,881,933.83",392.0,,,,"Tencent, JP Morgan Chase, Ontario Teachers' Pension Plan, Electronic Arts"
WeWork,"New York, New York, United States",Active,For Profit,9.0,6.0,4.0,2.0,11.0,24.0,Real Estate,"Commercial Real Estate, Coworking, Property Development, Real Estate",21.0,IPO,2021-10-29,150000000.0,USD,150000000.0,Post-IPO Equity,Post-IPO Equity,150000000.0,USD,150000000.0,21595784331.0,USD,21595784331.0,120.0,"2,646,155","2,483,475.83",280.0,343977.0,USD,343977.0,"SoftBank, JP Morgan Chase, Goldman Sachs, Insight Partners, Cushman & Wakefield"
Wagestream,"London, England, United Kingdom",Active,For Profit,1.0,,,,6.0,15.0,"Apps, Financial Services, Software","Apps, Financial Services, FinTech, Wealth Management",7.0,Late Stage Venture,2022-04-13,115000000.0,USD,115000000.0,Debt Financing,Series C,60000000.0,USD,60000000.0,254323381.0,USD,254323381.0,,33.731,"19,865.67",122.0,,,,"Smash Capital, Ascension, BlackRock, QED Investors, Northzone"
Xendit,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,5.0,3.0,,,3.0,9.0,"Financial Services, Lending and Investments, Payments","Banking, Finance, Financial Services, FinTech, Payments",6.0,Late Stage Venture,2021-09-14,150000000.0,USD,150000000.0,Series C,Series C,150000000.0,USD,150000000.0,214720000.0,USD,214720000.0,1.0,"7,949,770","1,842,012.83",545.0,,,,"Y Combinator, Tiger Global Management, Accel, East Ventures, Goat Capital"
Techstars,"Boulder, Colorado, United States",Active,For Profit,3.569,491.0,795.0,363.0,1.0,11.0,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",6.0,,2021-05-17,4999999.0,USD,4999999.0,Venture - Series Unknown,Venture - Series Unknown,4999999.0,USD,4999999.0,108799999.0,USD,108799999.0,318.0,606.778,"240,410.17",275.0,26964318.0,USD,26964318.0,"RRE Ventures, Foundry Group, Mercury, Silicon Valley Bank, IA Ventures"
StartEngine,"West Hollywood, California, United States",Active,,211.0,19.0,21.0,3.0,1.0,11.0,"Financial Services, Lending and Investments","Crowdfunding, Finance, FinTech, Funding Platform",8.0,,2021-12-10,50000000.0,USD,50000000.0,Equity Crowdfunding,Equity Crowdfunding,50000000.0,USD,50000000.0,87608095.0,USD,87608095.0,2.0,"1,392,183","2,817,501.17",872.0,36167.0,USD,36167.0,"Meyer Global Management, BAM Ventures, Erik Peterson, Sunmeet Jolly, Kevin Zuber"
Verizon,"New York, New York, United States",Active,For Profit,15.0,8.0,2.0,3.0,1.0,3.0,"Hardware, Information Technology, Mobile","Communications Infrastructure, Information Technology, Mobile, Telecommunications",8.0,IPO,2022-03-18,11800000.0,USD,11800000.0,Grant,Post-IPO Equity,21271935000.0,USD,21271935000.0,30091614466.0,USD,30091614466.0,71.0,"114,454,115","68,392,570.17",520.0,,,,"American Rescue Plan, NYSERDA, ATN International"
Terra,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,14.0,2.0,1.0,,8.0,31.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Financial Services, FinTech",15.0,,2021-01-26,25000000.0,USD,25000000.0,Venture - Series Unknown,Venture - Series Unknown,25000000.0,USD,25000000.0,58000000.0,USD,58000000.0,1.0,140.581,100.92,669.0,,,,"Galaxy Digital, Hashed, Polychain, Binance, Coinbase Ventures"
Wyre,"San Francisco, California, United States",Active,For Profit,,,,,5.0,25.0,"Financial Services, Payments, Software","Cryptocurrency, Financial Services, FinTech, Payments",8.0,M&A,2021-01-26,7500000.0,USD,7500000.0,Venture - Series Unknown,Venture - Series Unknown,7500000.0,USD,7500000.0,29146000.0,USD,29146000.0,2.0,666.818,"1,032,822.5",734.0,831126.0,USD,831126.0,"Digital Currency Group, Blockchain Capital, Stellar Development Foundation, Draper Associates, Kraken"
Zomato,"Gurgaon, Haryana, India",Active,For Profit,15.0,13.0,,2.0,12.0,25.0,"Apps, Events, Food and Beverage, Media and Entertainment, Mobile, Software, Transportation","Food Delivery, Mobile Apps, Reservations, Restaurants",21.0,IPO,2021-02-22,250000000.0,USD,250000000.0,Venture - Series Unknown,Venture - Series Unknown,250000000.0,USD,250000000.0,2100568357.0,USD,2100568357.0,,"28,528,270","22,805,302",494.0,,,,"Apple, Sequoia Capital, Info Edge, Tiger Global Management, Ant Group"
SpaceX,"Hawthorne, California, United States",Active,For Profit,,,,,9.0,65.0,"Manufacturing, Science and Engineering, Transportation","Aerospace, Manufacturing, Space Travel, Transportation",63.0,,2022-04-21,69950000.0,USD,69950000.0,Grant,Venture - Series Unknown,337355200.0,USD,337355200.0,7788578366.0,USD,7788578366.0,10.0,"2,679,672","2,403,973.5",428.0,35338360.0,USD,35338360.0,"Google, Fidelity, Baillie Gifford, Craft Ventures, Bank of America"
Twitch,"San Francisco, California, United States",Active,For Profit,,,,,2.0,9.0,"Content and Publishing, Gaming, Internet Services, Media and Entertainment, Video","Media and Entertainment, Social Media, Video, Video Games, Video Streaming",3.0,M&A,2013-09-30,20000000.0,USD,20000000.0,Series C,Series C,20000000.0,USD,20000000.0,35000000.0,USD,35000000.0,24.0,"1,231,225,837","1,215,374,519.33",1.545,,,,"Take-Two Interactive Software, Y Combinator, Draper Associates, Bessemer Venture Partners, SV Angel"
SAP,"Walldorf, Baden-Wurttemberg, Germany",Active,For Profit,29.0,7.0,,14.0,1.0,2.0,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Computer, Finance, Software",2.0,IPO,2019-04-24,1300000000.0,USD,1300000000.0,Post-IPO Equity,Post-IPO Equity,1300000000.0,USD,1300000000.0,1301371240.0,USD,1301371240.0,239.0,"27,548,849","26,208,156.17",544.0,67473085.0,USD,67473085.0,"Elliott Management, EASME - EU Executive Agency for SMEs"
Wefunder,"San Francisco, California, United States",Active,For Profit,15.0,1.0,4.0,2.0,,24.0,"Financial Services, Lending and Investments","Crowdfunding, Finance, Financial Services, Funding Platform",10.0,Seed,2021-06-01,,,,Seed,Seed,,,,9130000.0,USD,9130000.0,1.0,544.514,"490,401.33",530.0,,,,"Y Combinator, Maverick Ventures, Plug and Play Tech Center, Daniel Curran, Dharmesh Shah"
Swiggy,"Bangalore, Karnataka, India",Active,For Profit,6.0,2.0,,2.0,15.0,41.0,"Administrative Services, Food and Beverage, Transportation","Delivery, Food and Beverage, Food Delivery",17.0,,2022-01-24,1250000000.0,USD,1250000000.0,Undisclosed,Undisclosed,1250000000.0,USD,1250000000.0,4828380000.0,USD,4828380000.0,,"17,661,703","11,010,168.33",789.0,,,,"Tencent, SoftBank, Meituan, Invesco, Goldman Sachs"
Tive,"Boston, Massachusetts, United States",Active,For Profit,,,,,5.0,18.0,"Internet Services, Software, Transportation","Enterprise Software, Internet of Things, Shipping, Software, Supply Chain Management",7.0,Early Stage Venture,2022-04-11,54000000.0,USD,54000000.0,Series B,Series B,54000000.0,USD,54000000.0,81929989.0,USD,81929989.0,6.0,81.729,"6,325.33",2.608,,,,"Techstars, Fifth Wall, RRE Ventures, Qualcomm Ventures, AXA Venture Partners"
Stanza Living,"New Delhi, Delhi, India",Active,For Profit,,,,,8.0,14.0,"Information Technology, Other, Real Estate, Travel and Tourism","Home Services, Hospitality, Information Technology, Rental Property, Sharing Economy",7.0,Late Stage Venture,2022-03-23,4250000000.0,INR,55518002.0,Debt Financing,Series D,102000000.0,USD,102000000.0,227693327.0,USD,227693327.0,,706.889,417.155,83.0,,,,"Sequoia Capital, Matrix Partners, RBL Bank, Accel, Sequoia Capital India"
Twilio,"San Francisco, California, United States",Active,For Profit,16.0,2.0,4.0,2.0,7.0,24.0,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Enterprise Software, Messaging, Mobile Apps, SMS, Software",11.0,IPO,2021-07-28,378215525.0,USD,378215525.0,Post-IPO Equity,Post-IPO Equity,378215525.0,USD,378215525.0,614415525.0,USD,614415525.0,98.0,"14,482,569","8,736,997.17",621.0,253802890.0,USD,253802890.0,"Techstars, 500 Startups, Union Square Ventures, Fidelity, Redpoint"
UrbanPiper,"Bengaluru, Karnataka, India",Active,For Profit,,,,,5.0,10.0,"Food and Beverage, Information Technology, Software","Food and Beverage, Information Services, Information Technology, Restaurants, SaaS",5.0,Early Stage Venture,2022-04-17,24000000.0,USD,24000000.0,Series B,Series B,24000000.0,USD,24000000.0,39180783.0,USD,39180783.0,,21.603,"20,021.83",796.0,,,,"Zomato, Swiggy, Tiger Global Management, Sequoia Capital India, Axilor Ventures"
Tesla,"Austin, Texas, United States",Active,For Profit,1.0,,,,15.0,42.0,"Consumer Electronics, Hardware, Transportation","Automotive, Autonomous Vehicles, Electric Vehicle, Electronics",36.0,IPO,2020-05-09,565000000.0,USD,565000000.0,Post-IPO Debt,Post-IPO Equity,860000000.0,USD,860000000.0,20182508761.0,USD,20182508761.0,14.0,"40,713,783","31,839,271.67",390.0,,,,"Tencent, Citi, Google, Morgan Stanley, Goldman Sachs"
Zilingo,"Singapore, Central Region, Singapore",Active,For Profit,,,,,6.0,21.0,"Commerce and Shopping, Internet Services, Mobile","E-Commerce, Internet, Mobile",6.0,,2019-12-05,,,,Venture - Series Unknown,Venture - Series Unknown,,,,307880000.0,USD,307880000.0,,2.962,68.042,788.0,,,,"Sequoia Capital, Draper Associates, Susquehanna International Group (SIG), Temasek Holdings, Wavemaker Partners"
Xiaohongshu,"Shanghai, Shanghai, China",Active,For Profit,4.0,2.0,,,5.0,10.0,"Apps, Commerce and Shopping, Community and Lifestyle, Mobile, Software","E-Commerce, Mobile Apps, Shopping, Social",8.0,Late Stage Venture,2021-11-08,500000000.0,USD,500000000.0,Series E,Series E,500000000.0,USD,500000000.0,917691787.0,USD,917691787.0,,"5,939,482","3,498,235.33",252.0,,,,"Tencent, Alibaba Group, GSR Ventures, Temasek Holdings, GGV Capital"
Uniphore,"Palo Alto, California, United States",Active,For Profit,,,,,9.0,22.0,"Artificial Intelligence, Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence, Customer Service, Machine Learning, SaaS, Software",8.0,Late Stage Venture,2022-02-16,400000000.0,USD,400000000.0,Series E,Series E,400000000.0,USD,400000000.0,620875000.0,USD,620875000.0,,35.273,"17,845.67",603.0,,,,"New Enterprise Associates, Sorenson Capital, IIFL Finance, Chiratae Ventures, YourNest Venture Capital"
Sonos,"Santa Barbara, California, United States",Active,For Profit,1.0,1.0,,,3.0,7.0,"Consumer Electronics, Hardware, Media and Entertainment, Mobile, Music and Audio, Software","Audio, Consumer Electronics, Hardware, Music, Software, Wireless",10.0,IPO,2018-07-12,,,,Secondary Market,Series G,99000000.0,USD,99000000.0,455150000.0,USD,455150000.0,6.0,"5,850,531","7,374,347.5",569.0,100215712.0,USD,100215712.0,"Headline, Redpoint, Index Ventures, Kohlberg Kravis Roberts, EquityZen"
Sanofi,"Paris, Ile-de-France, France",Active,For Profit,22.0,12.0,3.0,11.0,2.0,2.0,"Biotechnology, Health Care, Manufacturing, Sales and Marketing, Science and Engineering","Biotechnology, Health Care, Life Science, Manufacturing, Marketing, Medical, Pharmaceutical, Therapeutics",2.0,IPO,2022-03-15,300000000.0,EUR,329024934.0,Post-IPO Equity,Post-IPO Equity,300000000.0,EUR,329024934.0,639024935.0,USD,639024935.0,13.0,448.697,"450,859.83",1.269,,,,"Evotec, Blackstone Life Sciences"
Thunes,"Singapore, Central Region, Singapore",Active,For Profit,2.0,1.0,,,3.0,5.0,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Payments",3.0,Early Stage Venture,2021-05-18,60000000.0,USD,60000000.0,Series B,Series B,60000000.0,USD,60000000.0,130000000.0,USD,130000000.0,4.0,10.062,8.918,610.0,,,,"Insight Partners, Checkout.com, GGV Capital, Future Shape, Helios Investment Partners"
Turo,"San Francisco, California, United States",Active,For Profit,,,,,6.0,30.0,"Commerce and Shopping, Other, Transportation","Car Sharing, Marketplace, Peer to Peer, Recreational Vehicles, Transportation",13.0,,2022-04-01,35167273.0,USD,35167273.0,Venture - Series Unknown,Venture - Series Unknown,35167273.0,USD,35167273.0,502567273.0,USD,502567273.0,3.0,"8,408,928","4,991,919.5",624.0,656386.0,USD,656386.0,"Intact Financial Corporation, GV, Daimler, Shasta Ventures, MassChallenge"
Treinta,"BogotÃ¡, Distrito Especial, Colombia",Active,For Profit,,,,,2.0,25.0,Financial Services,FinTech,4.0,Early Stage Venture,2022-04-04,46000000.0,USD,46000000.0,Series A,Series A,46000000.0,USD,46000000.0,60800000.0,USD,60800000.0,,248.33,"59,477.33",925.0,,,,"Goodwater Capital, Y Combinator, PayU, Outbound Ventures, Commerce Ventures"
Zume,"Camarillo, California, United States",Active,For Profit,,,,,3.0,10.0,"Food and Beverage, Manufacturing, Other, Transportation","Consumer, Food and Beverage, Food Delivery, Manufacturing",7.0,Private Equity,2018-11-02,375000000.0,USD,375000000.0,Private Equity,Private Equity,375000000.0,USD,375000000.0,423000000.0,USD,423000000.0,,2.542,"6,601.33",2.509,,,,"SoftBank Vision Fund, SignalFire, FJ Labs, AME Cloud Ventures, Maveron"
Yieldstreet,"New York, New York, United States",Active,For Profit,1.0,,,,7.0,16.0,Financial Services,"Finance, Financial Services, FinTech, Wealth Management",7.0,Late Stage Venture,2021-11-17,50000000.0,USD,50000000.0,Series C,Series C,50000000.0,USD,50000000.0,328500000.0,USD,328500000.0,2.0,527.958,"658,571.83",200.0,291281.0,USD,291281.0,"Gaingels, Edison Partners, FJ Labs, Greycroft, Soros Fund Management"
Yokoy,"ZÃ¼rich, Zurich, Switzerland",Active,For Profit,,,,,4.0,10.0,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning",3.0,Early Stage Venture,2022-03-29,80000000.0,USD,80000000.0,Series B,Series B,80000000.0,USD,80000000.0,107776168.0,USD,107776168.0,,18.339,"10,922.5",20.0,,,,"Sequoia Capital, Balderton Capital, Speedinvest, Left Lane Capital, Swisscom Ventures"
Solana,"San Francisco, California, United States",Closed,For Profit,13.0,,,,3.0,32.0,"Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software","Blockchain, Cryptocurrency, Internet, Marketplace, Virtual Currency",6.0,,2021-06-09,314000000.0,USD,314000000.0,Initial Coin Offering,Initial Coin Offering,314000000.0,USD,314000000.0,335760000.0,USD,335760000.0,1.0,"1,845,389","2,928,020.17",570.0,,,,"Andreessen Horowitz, BlockTower Capital, 500 Startups, Polychain, Slow Ventures"
Samsung Electronics,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,45.0,17.0,2.0,15.0,,1.0,"Consumer Electronics, Hardware, Manufacturing, Mobile","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Devices",2.0,M&A,2020-07-07,1050000.0,BRL,195199.0,Seed,Seed,1050000.0,BRL,195199.0,195200.0,USD,195200.0,175.0,"354,059,740","532,450,110.83",535.0,,,,Ashika Soni
Shopify,"Ottawa, Ontario, Canada",Active,For Profit,11.0,2.0,,,5.0,8.0,"Commerce and Shopping, Internet Services, Software","E-Commerce, E-Commerce Platforms, Enterprise Software, SaaS",4.0,IPO,2013-12-11,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,122250000.0,USD,122250000.0,56.0,"151,447,392","98,608,818.5",649.0,236725950.0,USD,236725950.0,"Insight Partners, OMERS Ventures, FirstMark, Bessemer Venture Partners, Felicis Ventures"
Whatfix,"San Jose, California, United States",Active,For Profit,,,,,5.0,18.0,"Apps, Education, Information Technology, Software","Enterprise Applications, Enterprise Software, Information Services, Information Technology, Training",8.0,Late Stage Venture,2021-06-08,90000000.0,USD,90000000.0,Series D,Series D,90000000.0,USD,90000000.0,139845000.0,USD,139845000.0,7.0,"1,100,051","365,803.17",684.0,,,,"Square, SoftBank Vision Fund, F-Prime Capital, Sequoia Capital India, Stellaris Venture Partners"
Trace,"Austin, Texas, United States",Active,For Profit,,,,,2.0,9.0,"Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Software, Sports","Computer, Quantified Self, Sensor, Software, Sports",7.0,Late Stage Venture,2022-04-12,47000000.0,USD,47000000.0,Series C,Series C,47000000.0,USD,47000000.0,68000000.0,USD,68000000.0,,310.835,"149,838.83",449.0,,,,"Brand Foundry Ventures, Intel Capital, Toba Capital, NextGen Venture Partners, Amplify.LA"
Yandex,"Moscow, Moscow City, Russian Federation",Active,For Profit,21.0,9.0,1.0,4.0,3.0,7.0,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Big Data, Developer Tools, Email, Information Technology, Mobile, Search Engine",6.0,IPO,2020-06-25,1000000000.0,USD,1000000000.0,Post-IPO Equity,Post-IPO Equity,1000000000.0,USD,1000000000.0,1016300000.0,USD,1016300000.0,14.0,"3,023,887,710","2,450,921,377.33",1.12,,,,"Tiger Global Management, Almaz Capital, RTP Global, Roman Abramovich, Baring Vostok Capital Partners"
Vytalize Health,"Hoboken, New Jersey, United States",Active,For Profit,,,,,4.0,11.0,"Health Care, Mobile","Health Care, mHealth, Personal Health, Wellness",5.0,Early Stage Venture,2022-04-11,47000000.0,USD,47000000.0,Series B,Series B,47000000.0,USD,47000000.0,75500000.0,USD,75500000.0,,18.63,4.818,90.0,,,,"KittyHawk Ventures, North Coast Ventures, Dreamit Ventures, Enhanced Healthcare Partners, Kawn Ventures"
Sophos,"Abingdon, Oxfordshire, United Kingdom",Active,For Profit,,,,,,1.0,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",2.0,M&A,2021-08-24,65229600.0,USD,65229600.0,Post-IPO Equity,Post-IPO Equity,65229600.0,USD,65229600.0,125010656.0,USD,125010656.0,57.0,"5,024,336","4,829,542.67",633.0,,,,TA Associates
Squire,"New York, New York, United States",Active,For Profit,,,,,5.0,23.0,"Apps, Commerce and Shopping, Mobile, Other, Software","Consumer, Mobile Apps, Point of Sale, Small and Medium Businesses",10.0,Late Stage Venture,2021-07-28,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,167070000.0,USD,167070000.0,1.0,"1,595,600","1,128,459",718.0,,,,"Y Combinator, Tiger Global Management, AltaIR Capital, SB Opportunity Fund, Bossa Nova Investimentos"
Satellogic,"Montevideo, NA - Uruguay, Uruguay",Active,For Profit,,,,,6.0,13.0,"Data and Analytics, Information Technology, Navigation and Mapping, Software","Geospatial, Information Technology, Software",9.0,IPO,2022-01-26,250000000.0,USD,250000000.0,Post-IPO Equity,Post-IPO Equity,250000000.0,USD,250000000.0,373800000.0,USD,373800000.0,,86.549,"65,814.67",656.0,,,,"Tencent, Liberty Strategic Capital, Endeavor Catalyst, SoftBank Capital, Cantor Fitzgerald"
The Honest Company,"Santa Monica, California, United States",Active,For Profit,1.0,,1.0,1.0,7.0,14.0,"Commerce and Shopping, Community and Lifestyle, Consumer Goods","Baby, Consumer Goods, E-Commerce, Lifestyle",7.0,IPO,2018-06-07,200000000.0,USD,200000000.0,Private Equity,Private Equity,200000000.0,USD,200000000.0,503000000.0,USD,503000000.0,2.0,"1,548,114","922,077.83",568.0,2479306.0,USD,2479306.0,"General Catalyst, M13, Fidelity Management and Research Company, Lightspeed Venture Partners, L Catterton"
SiFive,"San Mateo, California, United States",Active,For Profit,,,,,6.0,16.0,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Electronics, Manufacturing, Semiconductor, Wearables",6.0,Late Stage Venture,2022-03-16,175000000.0,USD,175000000.0,Series F,Series F,175000000.0,USD,175000000.0,365500000.0,USD,365500000.0,3.0,45.64,"28,447.33",163.0,,,,"Spark Capital, Qualcomm Ventures, Coatue, Khaira Capital, Samsung Ventures"
Shift,"San Francisco, California, United States",Active,For Profit,,,,,5.0,25.0,"Commerce and Shopping, Hardware, Software, Transportation","Automotive, E-Commerce, Logistics, Marketplace, Retail Technology",11.0,IPO,2022-03-15,20000000.0,USD,20000000.0,Post-IPO Debt,Post-IPO Equity,185000000.0,USD,185000000.0,504000000.0,USD,504000000.0,2.0,"1,213,364","551,310.83",334.0,51578.0,USD,51578.0,"Alumni Ventures, Fidelity Management and Research Company, Lithia Motors, Highland Capital Partners, Threshold"
Zeta,"San Francisco, California, United States",Active,For Profit,1.0,1.0,,,3.0,3.0,"Financial Services, Lending and Investments","Banking, Financial Services, FinTech",3.0,,2022-03-07,30000000.0,USD,30000000.0,Venture - Series Unknown,Venture - Series Unknown,30000000.0,USD,30000000.0,340000000.0,USD,340000000.0,2.0,63.185,"135,537.17",319.0,,,,"Mastercard, SoftBank Vision Fund, Sodexo"
Sayurbox,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,3.0,6.0,"Agriculture and Farming, Commerce and Shopping, Transportation","Agriculture, E-Commerce, Farming, Logistics, Shopping",4.0,Late Stage Venture,2022-03-21,1700000000000.0,IDR,118533393.0,Series C,Series C,1700000000000.0,IDR,118533393.0,139183393.0,USD,139183393.0,2.0,269.368,"540,994.83",124.0,,,,"International Finance Corporation, Alpha JWC Ventures, Global Brain Corporation, Northstar Group, Syngenta Ventures"
Venture Catalysts,"Mumbai, Maharashtra, India",Active,,244.0,122.0,1.0,11.0,,2.0,"Financial Services, Lending and Investments","Angel Investment, Finance, Incubators, Venture Capital",2.0,Seed,2018-04-05,,,,Seed,Seed,,,,500000.0,USD,500000.0,,14.059,"5,217.33",451.0,,,,"Zaffiro Ventures, Raj Sareen"
SoftBank,"Tokyo, Tokyo, Japan",Active,For Profit,308.0,151.0,37.0,81.0,1.0,2.0,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Mobile","Banking, E-Commerce, Internet, Mobile, Telecommunications",2.0,IPO,2022-03-03,100000000000.0,JPY,865943315.0,Post-IPO Debt,Private Equity,1000000000.0,USD,1000000000.0,1865943315.0,USD,1865943315.0,7.0,,,,,,,"Samsung Electronics, Tiger Global Management"
Viberate,"Ljubljana, Ljubljana Urban Commune, Slovenia",Active,For Profit,,,,,,2.0,"Data and Analytics, Design, Media and Entertainment, Music and Audio","Analytics, Big Data, Market Research, Media and Entertainment, Music",4.0,Early Stage Venture,2022-01-31,3500000.0,USD,3500000.0,Series A,Series A,3500000.0,USD,3500000.0,15500000.0,USD,15500000.0,,142.785,"98,564.33",306.0,,,,"George Burke, ABC Accelerator"
Silver Lake,"Menlo Park, California, United States",Active,For Profit,119.0,69.0,13.0,47.0,3.0,3.0,"Financial Services, Information Technology, Lending and Investments","Finance, Financial Services, FinTech, Information Technology, Venture Capital",3.0,Private Equity,2021-07-06,40000000.0,USD,40000000.0,Private Equity,Private Equity,40000000.0,USD,40000000.0,2040000000.0,USD,2040000000.0,,30.781,"20,862.67",265.0,3206.0,USD,3206.0,"Mubadala, Dyal Capital Partners, Ikhlas Capital"
Vontive,"San Francisco, California, United States",Active,For Profit,,,,,2.0,9.0,"Financial Services, Real Estate","Financial Services, FinTech, Real Estate",4.0,Early Stage Venture,2022-04-06,110000000.0,USD,110000000.0,Debt Financing,Series B,25000000.0,USD,25000000.0,143000000.0,USD,143000000.0,,2.533,"2,945.33",4.0,,,,"8VC, Founders Fund, XYZ Venture Capital, Goldcrest Capital, Zigg Capital"
Zoom,"San Jose, California, United States",Active,For Profit,24.0,12.0,1.0,3.0,5.0,19.0,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Information Technology, Messaging, Video Conferencing",8.0,IPO,2021-11-04,130000000.0,USD,130000000.0,Post-IPO Equity,Post-IPO Equity,130000000.0,USD,130000000.0,276000000.0,USD,276000000.0,44.0,"637,716,832","669,087,972.17",745.0,204574021.0,USD,204574021.0,"Sequoia Capital, Qualcomm Ventures, DCVC, Horizons Ventures, AME Cloud Ventures"
Substack,"San Francisco, California, United States",Active,For Profit,,,,,2.0,15.0,"Content and Publishing, Media and Entertainment, Other","Content, Media and Entertainment, News, Publishing, Subscription Service",4.0,Early Stage Venture,2021-03-31,65000000.0,USD,65000000.0,Series B,Series B,65000000.0,USD,65000000.0,82420000.0,USD,82420000.0,1.0,"64,553,875","40,756,203.17",655.0,,,,"Andreessen Horowitz, Garage Capital, FundersClub, Y Combinator, VentureSouq"
UpGrad,"Mumbai, Maharashtra, India",Active,For Profit,,,,,5.0,5.0,"Education, Software","E-Learning, EdTech, Education",4.0,,2021-08-09,65000000.0,USD,65000000.0,Venture - Series Unknown,Venture - Series Unknown,65000000.0,USD,65000000.0,200986963.0,USD,200986963.0,1.0,"4,356,183","4,609,821.33",711.0,,,,"Temasek Holdings, International Finance Corporation, IIFL Finance, IIFL Asset Management, Unilazer Ventures"
The EVERY Company,"South San Francisco, California, United States",Active,For Profit,,,,,5.0,25.0,"Biotechnology, Food and Beverage, Health Care, Science and Engineering, Sustainability","Biotechnology, Food Processing, Nutrition, Sustainability",9.0,Late Stage Venture,2021-12-07,175000000.0,USD,175000000.0,Series C,Series C,175000000.0,USD,175000000.0,239750000.0,USD,239750000.0,1.0,6.631,"3,590.67",179.0,,,,"IndieBio, Temasek Holdings, SOSV, UpHonest Capital, Prosus Ventures"
Stripe,"San Francisco, California, United States",Active,For Profit,49.0,21.0,6.0,1.0,14.0,48.0,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments, SaaS",19.0,,2022-03-18,,,,Secondary Market,Venture - Series Unknown,,,,2235100000.0,USD,2235100000.0,40.0,"91,673,603","69,096,235.67",534.0,47542633.0,USD,47542633.0,"Google, Sequoia Capital, Andreessen Horowitz, General Catalyst, Y Combinator"
